vendorId,companyName,primaryContactName,primaryContactEmail,phoneNumber,address,category,engagementStatus,registrationDate,lastInteractionDate,performanceRating,contractEndDate,notes
V1011,Washington Group,Kelly Shaffer,washington.group17@example.com,(793)774-4277x0099,"47454 Frank Hill Suite 297, Josephport, KS 18332",Contract Manufacturing,COMPLETED_ONBOARDED,2024-05-21,2024-11-17T18:13:31.266272,4.7,2026-03-04,In despite easy same area movement develop technology story popular throughout foot second necessary glass impact plant.
V1012,Taylor-Velazquez,Leah Hutchinson,taylor-velazquez6@example.com,9063962572,"3582 Jacob Grove, Annaside, FL 74178",Ingredients & Additives,COMPLETED_ONBOARDED,2024-03-26,2024-11-07T18:13:31.266605,4.8,2027-03-26,Room thousand anyone range as impact suggest two structure medical law even deep big imagine term however reflect safe.
V1013,"Daniels, Robinson and Hernandez",Nathan York,daniels.robinson.and.hernandez33@example.com,+1-490-314-2819x76828,"USNV Allen, FPO AE 26567",Ingredients & Additives,OPEN_IN_PROGRESS,2023-05-07,2025-08-26T18:13:31.266901,1.4,2026-08-24,Learn modern else bag it however modern recent because minute education tell.
V1014,"Sherman, Hernandez and Miller",Jamie Barnes,sherman.hernandez.and.miller5@example.com,001-309-757-9402,"66695 Brittany Knoll, Munozside, MP 82203",Packaging Solutions,COMPLETED_ONBOARDED,2023-06-24,2025-07-11T18:13:31.267222,5.0,2027-05-26,Feel push arm miss size which card third seek finally avoid local oil offer thing.
V1015,Conrad-Mitchell,Stephanie Good,conrad-mitchell50@example.com,001-207-251-7499x31421,"9153 Adam Inlet Apt. 403, Port Victoriaview, MT 47958",IT Services,COMPLETED_ONBOARDED,2025-02-21,2024-11-23T18:13:31.267496,4.8,2026-09-25,Staff billion cost themselves ball stock all step special need item with strategy.
V1016,"Smith, Harris and Phillips",Nicole Edwards,smith.harris.and.phillips27@example.com,625-879-3142x49664,"4433 Howell River, Amandabury, VA 76653",Ingredients & Additives,OPEN_IN_PROGRESS,2023-03-08,2025-07-09T18:13:31.267805,3.3,2027-04-20,Think summer remember past these yourself much draw state anything.
V1017,Sanchez Ltd,Paul Wiggins,sanchez.ltd11@example.com,(610)273-0667x755,"PSC 6635, Box 6686, APO AE 06214",Contract Manufacturing,YET_TO_RESPOND,2024-07-21,2025-09-01T18:13:31.267969,3.2,2026-03-18,Attention deep raise fish language energy sort research his none radio north send structure common newspaper drive.
V1018,Buchanan Ltd,Timothy Murray,buchanan.ltd41@example.com,001-697-353-3522,"813 Tonya Freeway, Paigeport, UT 83578",Contract Manufacturing,YET_TO_RESPOND,2024-06-02,2025-06-13T18:13:31.268190,3.1,2027-04-26,Water those year peace think until over record a scientist wide skill year meeting.
V1019,Thomas-Morris,Andrew Hubbard,thomas-morris50@example.com,511-359-4499x5319,"784 Miles Shoals Suite 551, Davidfort, WV 54234",Logistics & Distribution,OPEN_IN_PROGRESS,2025-09-28,2024-11-14T18:13:31.268460,4.8,2026-03-29,Consumer adult western industry single see line decade cause establish concern deep.
V1020,"Valdez, Hampton and Li",Michele Clark,valdez.hampton.and.li8@example.com,766-932-5251x30090,"904 Jessica Ranch Apt. 001, New Russell, MH 37475",Contract Manufacturing,OPEN_IN_PROGRESS,2023-11-10,2024-11-15T18:13:31.268757,4.3,2026-02-28,Work first speech group move after drop relate building I pattern nothing rich film pass perhaps season it anyone.
V1021,Rodriguez and Sons,Mathew Thomas,rodriguez.and.sons9@example.com,438.629.0828x952,"204 Tiffany Tunnel, Arielshire, MN 04936",Manufacturing Equipment,OPEN_IN_PROGRESS,2024-03-15,2025-06-25T18:13:31.268978,2.4,2026-05-22,Chance thank general south central effort certainly radio western matter before across new word contain.
V1022,"Gordon, Daniels and Soto",Jennifer Cannon,gordon.daniels.and.soto20@example.com,577.604.1080x3220,"03875 Matthew Neck, Munozbury, IL 05560",Logistics & Distribution,COMPLETED_ONBOARDED,2023-07-30,2024-11-29T18:13:31.269284,3.8,2026-03-18,Able stop commercial operation first plant boy people politics recognize.
V1023,Valentine and Sons,William Larson,valentine.and.sons28@example.com,+1-993-923-5425x8640,"367 Mcdowell Fords Suite 111, West Tinaland, RI 36625",Packaging Solutions,YET_TO_RESPOND,2023-08-26,2025-08-01T18:13:31.269525,2.7,2026-12-15,Approach not thought food drop during if claim like information political cultural foreign situation value move art.
V1024,"Mckinney, Knight and Mitchell",Christopher Rodriguez,mckinney.knight.and.mitchell44@example.com,001-771-539-8200x16969,"9948 Sierra Estates Suite 388, Bartlettmouth, NV 79811",Manufacturing Equipment,OPEN_IN_PROGRESS,2025-08-04,2024-11-30T18:13:31.269845,4.8,2026-05-31,Research control law create high full change thing find lawyer president mention up lay compare happen day appear.
V1025,"Crawford, Smith and Murphy",Travis Diaz,crawford.smith.and.murphy30@example.com,586.659.8549x859,"880 Yu Manor Apt. 725, South Jamesborough, AK 76053",Contract Manufacturing,YET_TO_RESPOND,2025-04-19,2025-08-20T18:13:31.270165,3.5,2025-12-31,Everybody manage interview bag professional total truth base general rest network month become admit officer nature still voice economy.
V1026,Ferguson LLC,John Gutierrez,ferguson.llc41@example.com,407-913-3052x762,"708 Steven Loop Suite 653, Davidland, VI 09404",Ingredients & Additives,COMPLETED_ONBOARDED,2023-01-07,2025-08-12T18:13:31.270391,1.8,2026-07-29,Rate story much ask old certainly quality table professor politics PM total.
V1027,"Love, Brady and Hopkins",Kathy Hicks DDS,love.brady.and.hopkins10@example.com,828-718-2901x97839,"14734 Simmons Drive, East Jessica, WY 54731",IT Services,COMPLETED_ONBOARDED,2023-06-04,2025-04-17T18:13:31.270697,4.0,2027-02-25,Different use him meeting industry stage society effect miss area store.
V1028,"Nguyen, Nicholson and Stafford",Lisa Baker,nguyen.nicholson.and.stafford3@example.com,+1-591-241-3534,"71034 Silva Rapid, Williamsfort, RI 12830",Ingredients & Additives,YET_TO_RESPOND,2025-10-05,2025-09-05T18:13:31.271006,3.5,2027-06-29,Newspaper them never as important scientist its my door agency article certain field know girl.
V1029,"Martinez, Dickerson and Madden",Stephanie Ferrell,martinez.dickerson.and.madden49@example.com,+1-278-226-0891,"43199 Davis Overpass Apt. 649, Elizabethstad, NJ 25960",Marketing & Advertising,OPEN_IN_PROGRESS,2024-09-06,2025-05-07T18:13:31.271309,3.4,2026-12-02,Development small above four wish leader difficult whatever four big ever best stop.
V1030,Calhoun and Sons,Heidi Moore,calhoun.and.sons13@example.com,(649)280-2124x101,"69223 Cynthia Lake Suite 498, Williammouth, FL 17932",Manufacturing Equipment,OPEN_IN_PROGRESS,2025-08-16,2025-02-24T18:13:31.271540,2.4,2027-05-21,Since necessary involve far cause hit push fact reflect condition cause sister agent sing assume daughter usually character.
V1031,Cox-Harper,Jessica Zhang,cox-harper40@example.com,(756)919-6990x021,"55797 Sanders Spur, East Aprilborough, AR 09610",Contract Manufacturing,YET_TO_RESPOND,2024-01-04,2024-11-10T18:13:31.271813,2.6,2026-09-27,Age think city picture next may including campaign common executive billion remember suggest certain rate election too voice.
V1032,"Johnson, Davis and Welch",Jessica Webster,johnson.davis.and.welch42@example.com,+1-958-640-5052x135,"8287 David Fork, Port Christopherside, KS 19363",IT Services,COMPLETED_ONBOARDED,2023-01-27,2025-03-15T18:13:31.272112,4.3,2027-08-05,Turn interesting recently key special them these who want shake Democrat seven part almost local during without them meeting.
V1033,"Monroe, Boyd and Lloyd",James Hall,monroe.boyd.and.lloyd25@example.com,+1-708-303-9946x748,"50377 Amber Camp Apt. 967, Johnnyton, WI 47519",Manufacturing Equipment,COMPLETED_ONBOARDED,2023-01-27,2024-12-14T18:13:31.272415,3.6,2027-07-01,Any by point large smile point vote eat that learn as despite nor little present us safe impact time color.
V1034,"Smith, Lee and Heath",Marcus Smith,smith.lee.and.heath34@example.com,+1-319-327-7899x544,"611 Alvarez Highway, Rosechester, VA 44808",Packaging Solutions,OPEN_IN_PROGRESS,2024-08-04,2025-08-11T18:13:31.272732,4.2,2026-03-06,Again or performance professional western himself few property wife east miss.
V1035,"Morris, Hicks and Nichols",Kenneth Navarro,morris.hicks.and.nichols6@example.com,904.901.0979x879,"2281 Crystal Mount, Lake Patrickside, ND 32313",Manufacturing Equipment,COMPLETED_ONBOARDED,2024-04-14,2025-07-25T18:13:31.273029,2.9,2027-09-11,Be forward that peace money themselves power own energy people while.
V1036,Maldonado Group,Daniel Simmons,maldonado.group20@example.com,(735)246-4305,"55177 Lindsey Fort, Briannafort, GA 12040",Raw Materials (Produce),YET_TO_RESPOND,2024-06-20,2025-03-19T18:13:31.273264,1.2,2027-09-06,Black soon health and language down morning form stand west vote these project crime newspaper take.
V1037,Bradley-Morrison,Tyler Boyd,bradley-morrison33@example.com,831.834.5025,"3593 Stacey Wells Suite 228, North Jenniferborough, PW 29017",Contract Manufacturing,YET_TO_RESPOND,2025-01-12,2025-10-02T18:13:31.273529,4.0,2026-12-15,Little shoulder along stage road understand certainly individual bed technology case bank.
V1038,Robinson-Price,Jesse Mccoy,robinson-price50@example.com,001-235-204-4444x96462,"967 Matthew Turnpike, Scottmouth, PR 77492",Manufacturing Equipment,OPEN_IN_PROGRESS,2025-02-19,2025-06-01T18:13:31.273792,3.2,2026-10-11,Name available assume lay could section painting hotel under even nor everyone doctor itself.
V1039,Lucero-Thomas,Bradley Collins,lucero-thomas50@example.com,572-972-4623x828,"5178 Scott Ports, Port Lisa, VI 30853",Manufacturing Equipment,COMPLETED_ONBOARDED,2022-11-23,2024-12-01T18:13:31.274074,2.5,2026-03-18,Five security mother listen hot all quality they lot care join federal main.
V1040,"Taylor, Chaney and Houston",Susan Cox,taylor.chaney.and.houston30@example.com,(680)923-1439,"6641 Mcgee Field, East Bryan, NE 59232",Marketing & Advertising,COMPLETED_ONBOARDED,2023-02-22,2024-10-29T18:13:31.274379,3.9,2027-04-08,Exactly throw work participant task guess according probably leg decision art course.
V1041,"Grant, Martinez and Cortez",Paula Scott,grant.martinez.and.cortez38@example.com,+1-690-709-2445x4240,"467 Love Forges, South Benjaminmouth, PA 67481",Raw Materials (Produce),OPEN_IN_PROGRESS,2023-03-19,2025-06-07T18:13:31.274688,2.5,2026-04-25,Final between save product thank memory create know morning first light maybe.
V1042,Payne PLC,Jay Mahoney,payne.plc20@example.com,539.805.3796x034,"6106 Valerie Mill, Port Cassandraburgh, SD 44473",Raw Materials (Produce),YET_TO_RESPOND,2024-10-03,2025-01-17T18:13:31.274916,3.2,2025-10-28,His eat fight easy build project blue lay billion design product television suddenly more major reveal special on board single.
V1043,Chapman-Williams,Brian Bennett,chapman-williams4@example.com,(406)411-0049,"710 Jordan Viaduct, Dixonton, TX 99290",IT Services,OPEN_IN_PROGRESS,2023-02-27,2025-04-11T18:13:31.275183,1.2,2026-11-09,Simple red can style issue already book condition notice rock here again treatment either month whether exactly person.
V1044,Lopez Inc,Shaun Robinson,lopez.inc47@example.com,001-253-693-1577x334,"730 Singh Green Apt. 160, Lake Dylanport, IN 68706",Logistics & Distribution,YET_TO_RESPOND,2023-05-14,2025-03-28T18:13:31.275427,1.2,2027-08-07,Young red east line mention hope recent account century week state open newspaper sea training drive weight area beat PM.
V1045,Rubio and Sons,Anthony Alvarez,rubio.and.sons37@example.com,845.726.5654,"PSC 9704, Box 2878, APO AA 30256",Raw Materials (Produce),COMPLETED_ONBOARDED,2025-04-03,2025-01-07T18:13:31.275589,1.2,2027-01-23,City fire once three standard society decide process story watch traditional east upon such.
V1046,"Morris, Gray and Davis",Frederick Douglas,morris.gray.and.davis12@example.com,793.741.2856,"5742 Hutchinson Mews Suite 826, West Theresamouth, CO 89867",IT Services,COMPLETED_ONBOARDED,2022-12-10,2025-07-06T18:13:31.275901,1.6,2027-05-25,Soon above nation resource trouble often thank memory war available care let cold sit.
V1047,Ford-Benton,Micheal Bradford,ford-benton22@example.com,922.863.5439,"73727 Dylan Valleys, North Christinamouth, FM 05637",Packaging Solutions,OPEN_IN_PROGRESS,2025-04-10,2025-01-29T18:13:31.276162,2.4,2027-08-30,Idea suffer born believe attorney idea action bad look guess family.
V1048,Collins-Hernandez,Terri Perkins,collins-hernandez5@example.com,001-612-312-9682x5496,"206 Jasmine Trafficway Apt. 702, Dunnside, AR 85457",Manufacturing Equipment,YET_TO_RESPOND,2024-10-10,2025-07-17T18:13:31.276444,3.8,2027-06-21,Give west pretty can seat difficult plant other concern interesting animal economy star.
V1049,Griffin Ltd,Sarah Villegas,griffin.ltd45@example.com,(458)745-5013x309,"262 Smith Path, Thompsontown, OR 01375",Contract Manufacturing,COMPLETED_ONBOARDED,2023-06-23,2025-09-04T18:13:31.276692,1.8,2025-11-04,Special religious different wish most event make while show off claim system last arm prepare affect expect industry media.
V1050,Vasquez Group,Kathryn Flores,vasquez.group18@example.com,001-946-369-9367x9180,"382 Elizabeth Highway Apt. 371, East Daniellefort, MT 36595",Logistics & Distribution,COMPLETED_ONBOARDED,2024-09-28,2025-01-06T18:13:31.276926,3.0,2027-01-28,Listen run according miss major article everybody policy have stuff happen perhaps after remember discuss out really some.
V1051,"Robinson, Ryan and Adams",Candice Sanchez,robinson.ryan.and.adams23@example.com,+1-313-829-5281x8644,"878 Newman Shoals Apt. 420, Townsendborough, NC 84657",Logistics & Distribution,COMPLETED_ONBOARDED,2024-10-28,2025-07-30T18:13:31.277263,3.9,2026-08-25,Represent ten step great however write possible write huge reduce American newspaper know if institution quickly reality.
V1052,Henry-Walsh,Donald Tucker,henry-walsh4@example.com,412-349-2973,"7955 Gross Dale Suite 684, Kingshire, AS 88729",Manufacturing Equipment,YET_TO_RESPOND,2024-10-06,2025-10-09T18:13:31.277567,1.6,2026-01-01,Economic gun few pull weight newspaper attorney people house every top issue many nice picture two might treatment page end.
V1053,"Young, Molina and Gonzalez",Rodney Clark,young.molina.and.gonzalez22@example.com,745.942.7502,"36716 Brian Ports, Lake Christopher, DE 82255",Marketing & Advertising,OPEN_IN_PROGRESS,2025-06-23,2025-02-24T18:13:31.277863,1.7,2027-06-14,Watch measure budget according Mrs fast short night individual region stand still forward knowledge among perform my show.
V1054,Hill-Hurley,Tony Gordon,hill-hurley31@example.com,+1-532-233-8570x3012,"95805 Hodge Cove Apt. 025, West Oscarmouth, AR 66594",Manufacturing Equipment,YET_TO_RESPOND,2023-06-29,2025-08-08T18:13:31.278143,2.9,2026-06-08,Ago former form position chair cultural himself field water magazine adult deep offer music senior trip.
V1055,"Martin, Castaneda and Campbell",Amy Bush,martin.castaneda.and.campbell17@example.com,(669)232-2191,"05241 Steven Vista Suite 645, South Kaylaburgh, IN 07914",Ingredients & Additives,YET_TO_RESPOND,2023-07-03,2025-04-11T18:13:31.278464,2.4,2026-11-26,Some beyond alone off eye study recognize painting Republican eye realize finish around government her quality participant.
V1056,"Walker, Watson and Ross",Alicia Dalton,walker.watson.and.ross39@example.com,(930)202-7388,"66319 Wilson Heights Apt. 520, Turnertown, DC 93031",Logistics & Distribution,YET_TO_RESPOND,2024-04-19,2025-07-28T18:13:31.278804,3.0,2026-03-11,Employee southern difference special instead increase art pressure arm radio man certain discussion.
V1057,"Miller, Butler and Carlson",Justin Phillips,miller.butler.and.carlson14@example.com,(503)777-9171x136,"695 Justin Orchard Apt. 853, West Pamelastad, PW 56122",IT Services,COMPLETED_ONBOARDED,2024-03-24,2025-09-11T18:13:31.279105,1.1,2026-12-12,Stock hour sign walk within major old eight better avoid ability information mean hundred sort career bank plan.
V1058,Pena-Bowman,Terry Stephens,pena-bowman39@example.com,+1-238-738-4692x73652,"47270 David Lodge, Underwoodview, CO 96188",Packaging Solutions,COMPLETED_ONBOARDED,2023-08-31,2024-12-03T18:13:31.279376,2.5,2026-02-15,Mr arm window husband minute after machine pick page people bill simple sure music.
V1059,Smith Ltd,Mark Mueller,smith.ltd43@example.com,(975)233-6133x23678,"49577 Brian Camp, New Donna, MO 80324",Marketing & Advertising,YET_TO_RESPOND,2023-02-04,2025-07-19T18:13:31.279622,4.9,2027-03-30,Wish tell right program its difficult join site something drug southern but decision large catch best.
V1060,"Nguyen, Nichols and Moore",Mr. John Drake,nguyen.nichols.and.moore2@example.com,001-932-540-0927x56177,"12683 Justin Lakes Apt. 676, Raymondstad, ME 62458",Marketing & Advertising,OPEN_IN_PROGRESS,2024-09-25,2024-12-26T18:13:31.279934,1.7,2026-04-16,Management policy him either upon source rule attention play statement.
V1061,Solomon Ltd,Russell Garcia,solomon.ltd25@example.com,934.534.4492,"415 Alyssa Turnpike, Bakermouth, TN 83870",Contract Manufacturing,COMPLETED_ONBOARDED,2024-03-07,2025-05-02T18:13:31.280170,2.7,2026-12-19,Mrs president prove learn child assume piece story letter very.
V1062,Martinez-Ramirez,Jennifer Jackson,martinez-ramirez5@example.com,929-725-2696x38755,"18576 Moore Fields Apt. 045, Jessicaborough, DE 74707",Manufacturing Equipment,YET_TO_RESPOND,2023-02-14,2025-08-02T18:13:31.280451,3.1,2027-05-17,Administration agency stuff either popular population explain sit six do phone service interview expert military law help dinner.
V1063,"Murillo, Woods and Hudson",Pamela Ward,murillo.woods.and.hudson19@example.com,(830)966-9318,"8690 Larry Cliffs Apt. 494, Hoffmanbury, KY 53854",IT Services,OPEN_IN_PROGRESS,2023-01-29,2025-02-08T18:13:31.280761,2.4,2026-08-05,Yourself notice eye field teacher build paper inside return decide training history different.
V1064,Arroyo LLC,Patrick Lopez,arroyo.llc18@example.com,9976995490,"0973 Charles Meadows Suite 562, South Jamie, AS 94729",Marketing & Advertising,COMPLETED_ONBOARDED,2022-11-15,2025-01-31T18:13:31.281001,3.1,2027-08-07,Sort me your mean fly fly sister hope attack amount discuss reality explain feeling key right where.
V1065,Marsh LLC,John Howard,marsh.llc27@example.com,+1-955-770-3914x9432,"122 Joshua Ports Apt. 130, Port Garyside, SD 88679",Manufacturing Equipment,YET_TO_RESPOND,2025-05-08,2025-02-13T18:13:31.281234,4.5,2027-01-25,Scene world section green run each adult minute million store expect something should today card page Mrs student set.
V1066,Browning PLC,Kristina Brock,browning.plc49@example.com,331.521.6568x66543,"058 Nelson Plaza Suite 088, West Jocelyn, MH 68219",Raw Materials (Produce),OPEN_IN_PROGRESS,2023-06-19,2025-09-05T18:13:31.281476,1.8,2027-04-16,Manager amount think her production almost south serious improve try southern act.
V1067,Ponce-Burns,Lori Cardenas,ponce-burns35@example.com,+1-381-957-6975,"04227 Garcia Highway Apt. 614, South Dawnchester, MT 67240",Ingredients & Additives,COMPLETED_ONBOARDED,2024-06-04,2025-07-02T18:13:31.281752,2.1,2026-10-24,At alone trip pay ever past fine game oil crime woman citizen pay girl very right.
V1068,Galvan Group,Vincent Baker,galvan.group10@example.com,247-942-4793x1367,"3635 Kristine Passage, Williamton, OK 03407",Manufacturing Equipment,OPEN_IN_PROGRESS,2023-09-23,2025-08-09T18:13:31.281977,2.3,2026-04-16,Full appear coach in send wrong may second several possible two well television media by hair anything form should ground.
V1069,Johnson and Sons,Miguel Rocha,johnson.and.sons49@example.com,+1-522-627-3446x136,"6986 Bowers Pike, East Peter, GU 39904",Raw Materials (Produce),OPEN_IN_PROGRESS,2023-05-06,2024-12-09T18:13:31.282212,1.7,2026-10-01,Student reduce institution million almost around visit measure happen direction prepare area country everybody no keep radio pattern.
V1070,Webster Group,Theresa Collins,webster.group16@example.com,(259)857-1397,"PSC 5327, Box 3149, APO AP 77477",Manufacturing Equipment,COMPLETED_ONBOARDED,2023-01-06,2025-09-08T18:13:31.282376,4.0,2026-03-23,Success budget another key task charge debate wish realize enter area specific.
V1071,"Robertson, Lopez and Goodman",Michele Harper,robertson.lopez.and.goodman14@example.com,+1-746-315-7510x21870,"3321 Jason River, Colemanburgh, MH 32888",Ingredients & Additives,OPEN_IN_PROGRESS,2025-02-08,2024-12-10T18:13:31.282684,1.4,2025-11-08,One actually shake order perform run those all ok Democrat be experience hope whole interesting toward.
V1072,Shepard Group,Kathleen Garcia,shepard.group43@example.com,774-484-8125x009,"211 Thomas Route Suite 230, Jonathantown, FL 85764",Packaging Solutions,COMPLETED_ONBOARDED,2023-01-17,2024-10-22T18:13:31.282925,1.8,2026-07-17,Ok maybe various some experience after impact rest rest.
V1073,Tanner LLC,Maria Erickson,tanner.llc33@example.com,333-758-2058,"87277 Clifford Parkway Suite 775, Amberstad, SC 25451",Raw Materials (Produce),COMPLETED_ONBOARDED,2025-06-14,2025-05-14T18:13:31.283169,4.3,2026-12-25,Technology carry yard body require avoid Mrs recently yeah recently audience bad pick again family positive.
V1074,Erickson LLC,Sarah Porter,erickson.llc46@example.com,721-804-1518x237,"80079 Sherry Estate, Dawnstad, OH 47117",Manufacturing Equipment,YET_TO_RESPOND,2024-07-24,2024-12-04T18:13:31.283393,2.4,2027-05-19,Assume total wish if stock area describe former under.
V1075,Holt-Armstrong,Mary Schmitt,holt-armstrong30@example.com,728.869.3943,"771 Elaine Squares, Rothbury, OR 72312",IT Services,COMPLETED_ONBOARDED,2023-03-10,2024-10-25T18:13:31.283658,4.5,2025-12-19,Behind star expect wish claim physical office husband forward she receive.
V1076,Robinson LLC,Jacqueline Spence,robinson.llc44@example.com,2617053449,"28992 Diaz Road, East Kimberlyside, FM 41825",Marketing & Advertising,OPEN_IN_PROGRESS,2024-01-15,2025-07-12T18:13:31.283893,2.8,2027-09-27,Quite form article country affect carry interest drive all manage reality now something writer assume staff against summer.
V1077,Alvarado-Roth,Gregory Mitchell,alvarado-roth7@example.com,(482)744-6984x3264,"93908 Roth Court, Garciaside, AZ 57602",Packaging Solutions,YET_TO_RESPOND,2023-02-04,2025-10-19T18:13:31.284172,2.4,2027-04-17,Public person sell live senior also authority magazine paper.
V1078,"Holmes, Washington and Rogers",Tiffany Turner,holmes.washington.and.rogers50@example.com,001-415-845-3269x3869,"31507 Baker Crescent Apt. 856, Davidside, DC 14987",Contract Manufacturing,COMPLETED_ONBOARDED,2023-09-15,2025-01-15T18:13:31.284482,2.7,2026-07-10,Learn management cup citizen choose tend cultural price race campaign price sister society her money.
V1079,Kent Group,John Buchanan,kent.group15@example.com,(686)682-8421x05340,"82680 Hull Walks, Franklinshire, CT 76178",Contract Manufacturing,OPEN_IN_PROGRESS,2025-01-24,2024-12-08T18:13:31.284730,1.2,2027-08-11,Yeah political suffer rest through tax with head poor benefit.
V1080,Salas Ltd,Nancy Collins,salas.ltd47@example.com,+1-864-280-6713x60014,"4810 Tina Bridge Suite 205, New Patrickmouth, MD 53283",IT Services,YET_TO_RESPOND,2023-11-30,2025-01-20T18:13:31.284965,4.4,2027-08-16,Sure you dog dark participant focus note everything itself similar enough involve.
V1081,Bowman-Herrera,Michael Oliver,bowman-herrera5@example.com,(911)826-5844x29483,"36805 Jennifer Village Suite 635, New Erin, CA 90522",IT Services,YET_TO_RESPOND,2022-11-01,2024-10-24T18:13:31.285234,2.2,2026-05-10,Clearly region ten tend responsibility thus hour final receive argue indicate color address idea get station.
V1082,"Olson, Frank and Hicks",Jennifer Diaz,olson.frank.and.hicks19@example.com,+1-558-943-9096x7292,"43898 Jillian Island Suite 083, North Sherry, WV 89770",Logistics & Distribution,OPEN_IN_PROGRESS,2022-12-28,2025-06-07T18:13:31.285535,4.0,2026-03-18,Century myself college century clearly role such son rate any he check.
V1083,"Larsen, Randolph and Morgan",Mark Warren,larsen.randolph.and.morgan37@example.com,785-740-2869,"1418 Diana Springs Suite 734, New Kelly, AZ 87063",Logistics & Distribution,COMPLETED_ONBOARDED,2025-10-06,2025-07-06T18:13:31.285830,2.4,2027-08-08,Board hair stage make foot ready from look sister maybe history clear shake minute effort around week member statement.
V1084,"Turner, Everett and Smith",Dominic Woods,turner.everett.and.smith16@example.com,499.802.5654,"9298 Anderson Villages Suite 587, Lake Lonnieport, NV 89644",Contract Manufacturing,OPEN_IN_PROGRESS,2024-10-21,2024-10-25T18:13:31.286139,4.3,2025-12-27,Condition good have him take my late nice issue society them read fast generation add.
V1085,Moore LLC,Kevin Tran,moore.llc5@example.com,+1-682-721-1304x72552,"92004 Schultz Ville Suite 471, Holmesland, NM 01830",Raw Materials (Produce),COMPLETED_ONBOARDED,2024-11-20,2024-12-03T18:13:31.286397,3.9,2026-12-03,Reveal there yourself open box quality show population them there foot mouth music.
V1086,Bell Group,Rodney Barton,bell.group20@example.com,746-802-0965x2905,"007 Earl Union, New Chrishaven, VI 95358",Contract Manufacturing,OPEN_IN_PROGRESS,2024-07-25,2025-09-16T18:13:31.286620,3.3,2026-09-28,Generation cover seat natural perhaps need little actually everything although raise red discussion become arrive force expect.
